x,y,z
-7.683644104003906250e+01,3.026739311218261719e+01,0.000000000000000000e+00
-7.719912719726562500e+01,3.244084930419921875e+01,0.000000000000000000e+00
-7.732051086425781250e+01,3.464101409912109375e+01,0.000000000000000000e+00
-7.732051086425781250e+01,3.464101409912109375e+01,0.000000000000000000e+00
-7.732051086425781250e+01,3.575212478637695312e+01,0.000000000000000000e+00
-7.732051086425781250e+01,3.686323547363281250e+01,0.000000000000000000e+00
-7.732051086425781250e+01,3.797434997558593750e+01,0.000000000000000000e+00
-7.732051086425781250e+01,3.908546066284179688e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.019657135009765625e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.130767822265625000e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.241879272460937500e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.352989959716796875e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.464101409912109375e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.464101409912109375e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.474135971069335938e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.484170532226562500e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.494205093383789062e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.504239654541015625e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.514274597167968750e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.524309158325195312e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.534343719482421875e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.544378280639648438e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.554412841796875000e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.564447402954101562e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.574481964111328125e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.584516525268554688e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.594551086425781250e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.604586029052734375e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.614620590209960938e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.624655151367187500e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.634689712524414062e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.644724273681640625e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.654758834838867188e+01,0.000000000000000000e+00
-7.732051086425781250e+01,4.664793395996093750e+01,2.268846856168238446e-06
-7.732051086425781250e+01,4.674827957153320312e+01,5.450575845316052437e-04
-7.732051086425781250e+01,4.684862518310546875e+01,2.041499363258481026e-03
-7.732051086425781250e+01,4.694897079467773438e+01,4.490642808377742767e-03
-7.732051086425781250e+01,4.704932022094726562e+01,7.890929467976093292e-03
-7.732051086425781250e+01,4.714966583251953125e+01,1.224019750952720642e-02
-7.732051086425781250e+01,4.725001144409179688e+01,1.753568090498447418e-02
-7.732051086425781250e+01,4.735035705566406250e+01,2.377401106059551239e-02
